feature,mean_abs_shap,mean_shap,std_shap,native_importance,rank
bureau_CLOSED_AMT_CREDIT_SUM_sum,0.049609820488635804,-0.006955290962888961,0.058455111599504936,0.9330506427522576,21
cc_UTILIZATION_mean_3M,0.049339522304928406,-0.009226604354659572,0.0831136075959788,1.2706201074075152,22
inst_PAYMENT_PERC_mean_180D,0.04905020990740202,-0.004582625405118893,0.056670574386919366,0.7546190609027081,23
inst_DBD_mean_90D,0.04847155342191602,-0.0032686522636390073,0.057531679546107155,0.6140009937047751,24
ANNUITY_INCOME_RATIO,0.0472425552533323,-0.0005067771443861086,0.054689353776032096,0.9213955875673686,25
FLAG_OWN_CAR,0.045952702340206354,-0.002812287377961724,0.04976436027002451,0.4682311269969589,26
bureau_DEBT_CREDIT_RATIO_mean,0.04504326542899969,-0.005327139220111863,0.049776548118308915,0.8245243216643148,27
prev_APPROVED_PREV_SIMPLE_INTEREST_mean,0.043726707948681276,-0.001737106082444289,0.05650348577349795,0.8083155657704892,28
prev_AMT_ANNUITY_mean,0.042788848168084155,-0.000977621998152377,0.060626454408355554,0.7943324188370313,29
ORGANIZATION_TYPE_FREQ,0.04113321862053585,-0.0015495058124953146,0.04405767158320286,0.6110626213602817,30
DOCUMENT_COUNT,0.040868181262065886,-0.002343922259169865,0.07291232559728847,1.0035172809554795,31
DAYS_ID_PUBLISH,0.040029785552313096,-0.002714143382640269,0.04812784549298326,0.5125345468074133,32
pos_CNT_INSTALMENT_FUTURE_mean_3M,0.03993426116970887,-0.0006395029937135159,0.06436195543399038,0.7889235932982485,33
OWN_CAR_AGE,0.03965619716311897,-0.004114993569704622,0.058983721380642624,0.7526749815422331,34
pos_CNT_INSTALMENT_FUTURE_mean_24M,0.037994738697393914,-0.002986681630448917,0.04941738709660967,0.794960805276448,35
inst_PAYMENT_PERC_mean_730D,0.036240034429536785,-0.0041084033065395585,0.03958298994927262,0.6690380052404369,36
bureau_DAYS_CREDIT_max,0.035962661834071125,-0.006482388877967176,0.04160957200694619,0.8991028205306962,37
bureau_ACTIVE_LOANS_COUNT,0.03577681562682567,-0.0035133598555916784,0.0482927667312044,0.6732728651846553,38
